Country,Year,GDP per Capita ($),Population,Education Spending(%),Healthcare Spending($),Literacy(%),Life Expectancy,Fertility Rate,Infant Mortality Rate,Unemployment(%),Youth Unemployment(%)
Bahrain,2021,26850.0,1463265.0,9.08,1146.0,0.0,79.0,1.811,5.7,1.55,6.66
Bahrain,2022,30147.0,1472233.0,9.3,0.0,97.87,79.0,1.797,5.6,1.33,5.88
Bangladesh,2019,2122.0,165516222.0,11.33,48.0,74.68,73.0,2.031,26.7,4.69,13.52
Bangladesh,2020,2234.0,167420951.0,10.39,51.0,74.91,72.0,2.003,25.7,5.83,16.42
Bangladesh,2021,2458.0,169356251.0,10.22,58.0,76.36,72.0,1.981,24.9,5.82,16.62
Bangladesh,2022,2688.0,171186372.0,11.73,0.0,0.0,74.0,1.95,24.1,5.25,15.94
Barbados,2019,19156.0,280180.0,13.86,1172.0,,77.0,1.623,11.1,8.41,25.54
Barbados,2020,17028.0,280693.0,16.14,1239.0,,77.0,1.628,10.7,9.76,29.53
Barbados,2021,17586.0,281200.0,14.84,1400.0,,78.0,1.633,10.4,9.42,27.8
Barbados,2022,20738.0,281635.0,12.73,0.0,,78.0,1.634,10.1,8.49,26.07
Belarus,2019,6838.0,9419758.0,13.08,390.0,99.87,74.0,1.382,2.4,4.17,10.24
Belarus,2020,6543.0,9379952.0,12.87,408.0,0.0,72.0,1.474,2.2,4.05,12.06
Belarus,2021,7490.0,9302585.0,12.36,468.0,0.0,72.0,1.483,2.0,3.9,10.49
Belarus,2022,7995.0,9228071.0,12.81,0.0,0.0,73.0,1.495,1.9,3.57,10.27
Belgium,2019,46642.0,11488980.0,11.82,5050.0,,82.0,1.6,3.3,5.36,14.26
Belgium,2020,45588.0,11538604.0,11.15,5104.0,,81.0,1.55,3.2,5.56,15.35
Belgium,2021,51864.0,11586195.0,11.32,5680.0,,82.0,1.6,3.1,6.26,18.23
Belgium,2022,49942.0,11685814.0,0.0,0.0,,82.0,1.53,3.1,5.56,16.43
Belize,2019,6134.0,389095.0,22.22,299.0,,74.0,2.106,11.1,9.05,19.86
Belize,2020,5185.0,394921.0,18.99,280.0,,73.0,1.999,10.5,10.7,22.26
Belize,2021,6061.0,400031.0,17.95,310.0,,70.0,2.01,9.9,10.16,19.86
Belize,2022,6984.0,405272.0,17.83,0.0,,71.0,1.989,9.4,8.72,18.02
Benin,2019,1171.0,12290444.0,18.44,29.0,0.0,60.0,5.13,57.9,1.4,3.78
Benin,2020,1241.0,12643123.0,0.0,31.0,0.0,60.0,5.048,56.4,1.57,4.24
Benin,2021,1361.0,12996895.0,17.6,35.0,0.0,60.0,4.973,55.0,1.69,4.21
Benin,2022,1305.0,13352864.0,17.19,0.0,47.1,60.0,4.895,53.6,1.47,3.91
Bermuda,2019,116153.0,63911.0,12.44,,,81.0,1.3,,,
Bermuda,2020,107792.0,63893.0,12.29,,,81.0,1.4,,,
Bermuda,2021,114275.0,63764.0,12.02,,,79.0,1.3,,,
Bermuda,2022,123091.0,63595.0,11.63,,,82.0,1.3,,,
Bhutan,2019,3565.0,767459.0,18.09,115.0,0.0,71.0,1.46,22.1,2.72,11.56
Bhutan,2020,3181.0,772506.0,18.55,134.0,0.0,72.0,1.433,21.4,5.03,22.0
Bhutan,2021,3561.0,777486.0,15.71,120.0,0.0,72.0,1.413,20.7,4.8,20.62
Bhutan,2022,3704.0,782455.0,19.65,0.0,72.1,72.0,1.398,20.1,5.95,29.59
Bolivia,2019,3472.0,11777315.0,22.43,239.0,0.0,68.0,2.688,21.8,3.68,6.97
Bolivia,2020,3069.0,11936162.0,22.22,246.0,93.85,64.0,2.651,21.0,7.9,15.39
Bolivia,2021,3345.0,12079472.0,23.15,273.0,0.0,64.0,2.618,20.3,5.09,8.45
Bolivia,2022,3600.0,12224110.0,0.0,0.0,0.0,65.0,2.584,19.6,3.55,6.26
Bosnia,2019,6095.0,3360711.0,,544.0,0.0,77.0,1.368,5.5,15.69,34.1
Bosnia,2020,6095.0,3318407.0,,591.0,0.0,76.0,1.359,5.4,15.87,37.05
Bosnia,2021,7237.0,3270943.0,,692.0,0.0,75.0,1.35,5.3,14.9,35.33
Bosnia,2022,7588.0,3233526.0,,0.0,98.3,75.0,1.346,5.2,12.66,31.89
Botswana,2019,6691.0,2499702.0,22.34,409.0,,65.0,2.883,33.5,20.09,35.28
Botswana,2020,5875.0,2546402.0,21.47,359.0,,66.0,2.836,32.7,21.02,41.54
Botswana,2021,7244.0,2588423.0,0.0,457.0,,61.0,2.791,32.1,23.11,44.48
Botswana,2022,7726.0,2630296.0,0.0,0.0,,66.0,2.754,31.2,23.62,43.51
Brazil,2019,8845.0,211782878.0,12.74,850.0,0.0,75.0,1.703,13.2,11.94,27.04
Brazil,2020,6924.0,213196304.0,11.56,705.0,0.0,74.0,1.649,13.0,13.7,30.21
Brazil,2021,7795.0,214326223.0,0.0,761.0,0.0,73.0,1.641,12.8,13.16,28.26
Brazil,2022,9065.0,215313498.0,0.0,0.0,94.69,73.0,1.626,12.5,9.23,20.69
British Virgin Islands,2019,,30610.0,0.0,,,76.0,0.948,12.5,,
British Virgin Islands,2020,,30910.0,11.86,,,76.0,0.976,12.3,,
British Virgin Islands,2021,,31122.0,10.85,,,74.0,1.005,12.0,,
British Virgin Islands,2022,,31305.0,12.2,,,76.0,1.015,11.6,,
Brunei,2019,30748.0,438048.0,,675.0,0.0,75.0,1.819,8.6,6.6,20.44
Brunei,2020,27179.0,441725.0,,650.0,0.0,75.0,1.796,8.6,7.41,27.33
Brunei,2021,31449.0,445373.0,,693.0,97.59,75.0,1.778,8.6,4.91,16.45
Brunei,2022,37152.0,449002.0,,0.0,0.0,75.0,1.764,8.5,5.19,18.31
Bulgaria,2019,9874.0,6975761.0,10.48,698.0,0.0,75.0,1.58,5.6,4.23,8.9
Bulgaria,2020,10148.0,6934015.0,9.46,857.0,0.0,74.0,1.56,5.4,5.13,14.22
Bulgaria,2021,12219.0,6877743.0,10.56,1040.0,98.42,71.0,1.58,5.2,5.27,15.84
Bulgaria,2022,13974.0,6465097.0,0.0,0.0,0.0,74.0,1.78,5.0,4.27,10.75
